Sequences,"A,a","E,e","I,i","O,o","U,u",Consonants
o3EXv4x,0,1,0,1,0,5
6NwUDSMf,0,0,0,0,1,7
ocVSwMDvpC,0,0,0,1,0,9
BgxQAjC,1,0,0,0,0,6
LRXKvtHK8p,0,0,0,0,0,10
j72p2iY,0,0,1,0,0,6
VXSTmDz1,0,0,0,0,0,8
LlPMiV9Gp,0,0,1,0,0,8
eLxEuj,0,2,0,0,1,3
asRb5kp,1,0,0,0,0,6
vq6Wmk,0,0,0,0,0,6
Q5lNDbEI,0,1,1,0,0,6
wV4dCXhGs,0,0,0,0,0,9
2Bzkbxe,0,1,0,0,0,6
q9idbFX,0,0,1,0,0,6
rDXqT7,0,0,0,0,0,6
EtTIbjzGQ,0,1,1,0,0,7
YnbAMgh,1,0,0,0,0,6
GUmX3Z6IR,0,0,1,0,1,7
PMVsCl0,0,0,0,0,0,7
GS9l52,0,0,0,0,0,6
I6hQZM,0,0,1,0,0,5
I5xXQ4UPiu,0,0,2,0,2,6
9Knx50y4,0,0,0,0,0,8
ymnGFM3lbw,0,0,0,0,0,10
hnio4H2fM,0,0,1,1,0,7
2e3wLEu,0,2,0,0,1,4
GqvEjCY8,0,1,0,0,0,7
ob9yzB,0,0,0,1,0,5
teWWLvPn1,0,1,0,0,0,8
tChIPUxTn2,0,0,1,0,1,8
a05No8,1,0,0,1,0,4
pV7ZCo,0,0,0,1,0,5
8hidcfpb,0,0,1,0,0,7
e7BNFYlZ,0,1,0,0,0,7
xQxezd,0,1,0,0,0,5
HLRNIQx,0,0,1,0,0,6
xeCTuhOS,0,1,0,1,1,5
Hp0ZQAHsi,1,0,1,0,0,7
MHHQt27e1i,0,1,1,0,0,8
6MlYxXC0,0,0,0,0,0,8
Khne6NY3Js,0,1,0,0,0,9
wOOs3X8B,0,0,0,2,0,6
WUHog8P,0,0,0,1,1,5
KuhBaA,2,0,0,0,1,3
QKOMv8Bj,0,0,0,1,0,7
DIIwUgA7H,1,0,2,0,1,5
TMNn1f,0,0,0,0,0,6
gNZewh,0,1,0,0,0,5
rRG7XvYfC,0,0,0,0,0,9
2Ri8FA,1,0,1,0,0,4
AJi4S6K7z,1,0,1,0,0,7
u8PuAZKEb,1,1,0,0,2,5
KyjIFngDRU,0,0,1,0,1,8
nsMsXp4GgQ,0,0,0,0,0,10
eFgqSn9CDV,0,1,0,0,0,9
ZpWIkB,0,0,1,0,0,5
fHLXx5T,0,0,0,0,0,7
YqBpGoLUKy,0,0,0,1,1,8
QeghF1F,0,1,0,0,0,6
MlJmY0H,0,0,0,0,0,7
FTeAFc2CkT,1,1,0,0,0,8
FjTXanRx,1,0,0,0,0,7
oe7WfQ5ua,1,1,0,1,1,5
C8znN8z0W,0,0,0,0,0,9
zSh6rwKo,0,0,0,1,0,7
CF3LFLw,0,0,0,0,0,7
mF5Bgo9,0,0,0,1,0,6
E0ThVACAT6,2,1,0,0,0,7
QTHi7YZx5,0,0,1,0,0,8
NpaHbym,1,0,0,0,0,6
T33IeHbbX4,0,1,1,0,0,8
rrK0UPq3,0,0,0,0,1,7
YqU586,0,0,0,0,1,5
JAfFdA,2,0,0,0,0,4
YyCQdC,0,0,0,0,0,6
26wm0YcUDs,0,0,0,0,1,9
7L5rJN,0,0,0,0,0,6
khU6ken,0,1,0,0,1,5
306s3npkq,0,0,0,0,0,9
JE8lOF2R,0,1,0,1,0,6
mjlsz89dT2,0,0,0,0,0,10
jyh7tg00YF,0,0,0,0,0,10
kGJDcw,0,0,0,0,0,6
Fcf5EFh1,0,1,0,0,0,7
V5gDZ7UNS,0,0,0,0,1,8
4B7YaSRA,2,0,0,0,0,6
OGX3fZ,0,0,0,1,0,5
ysPxCfM,0,0,0,0,0,7
JzEqv2RU9U,0,1,0,0,2,7
KLxFrF5yU,0,0,0,0,1,8
WiBGAF4Niq,1,0,2,0,0,7
7evWGW,0,1,0,0,0,5
UBKrJjKE,0,1,0,0,1,6
0QSxKkqZ,0,0,0,0,0,8
xSs4n4,0,0,0,0,0,6
7QsDrPT6KK,0,0,0,0,0,10
gOcvnsC4,0,0,0,1,0,7
xZtAmfsmUQ,1,0,0,0,1,8
yOO8Kj,0,0,0,2,0,4
flrGQjo,0,0,0,1,0,6
hJ2mWL5Fff,0,0,0,0,0,10
sv1iwn9T,0,0,1,0,0,7
Ra9qaz364,2,0,0,0,0,7
aGgBeH,1,1,0,0,0,4
38fzy1WkI,0,0,1,0,0,8
tQPghjU,0,0,0,0,1,6
kCTx2BSD1,0,0,0,0,0,9
s5oRHYj37,0,0,0,1,0,8
21MeSNWVn,0,1,0,0,0,8
mis7Co,0,0,1,1,0,4
qXJPdR0,0,0,0,0,0,7
oDpdOC,0,0,0,2,0,4
L2RchqHvb5,0,0,0,0,0,10
SFg7J32,0,0,0,0,0,7
nTjtsLeO,0,1,0,1,0,6
01GBUR,0,0,0,0,1,5
hc9RecI,0,1,1,0,0,5
TST5PMipK,0,0,1,0,0,8
7pPyEO4I1,0,1,1,1,0,6
jIOBCO8,0,0,1,2,0,4
DSYzNCy0v7,0,0,0,0,0,10
of9jGhyYH,0,0,0,1,0,8
28MdJ5ZA06,1,0,0,0,0,9
YPkMq0,0,0,0,0,0,6
KIoINVVE8G,0,1,2,1,0,6
vPK9q4,0,0,0,0,0,6
m5vSqO1VqZ,0,0,0,1,0,9
Ke5Af3,1,1,0,0,0,4
HzhI74rrzE,0,1,1,0,0,8
EcErFSXUu,0,2,0,0,2,5
VY8D8doJ7,0,0,0,1,0,8
BoicnN4O,0,0,1,2,0,5
pQjJwqRYA,1,0,0,0,0,8
7Rwd4JgQo,0,0,0,1,0,8
dftbzz,0,0,0,0,0,6
L1rBVkB,0,0,0,0,0,7
iZ9cubJU9l,0,0,1,0,2,7
7ZUoRkQX,0,0,0,1,1,6
Ud9I5qDp,0,0,1,0,1,6
UNIXiA,1,0,2,0,1,2
UQ4MkyW8p7,0,0,0,0,1,9
Rs6zxv,0,0,0,0,0,6
WJjytI92,0,0,1,0,0,7
z5zZTZR,0,0,0,0,0,7
L8KRIqMPus,0,0,1,0,1,8
6faOwZ,1,0,0,1,0,4
5FT42pwcP,0,0,0,0,0,9
j0JTxF,0,0,0,0,0,6
z2mW4Fe,0,1,0,0,0,6
kETs5er5eR,0,3,0,0,0,7
WNZi0BA,1,0,1,0,0,5
2A8Wk7SH,1,0,0,0,0,7
Err2Kg0,0,1,0,0,0,6
PR85i6zqVA,1,0,1,0,0,8
jkIIecnwtR,0,1,2,0,0,7
O2NzGN,0,0,0,1,0,5
nFuCNk,0,0,0,0,1,5
eFRmeNSmw,0,2,0,0,0,7
tTzXPjJU,0,0,0,0,1,7
8vMlSIe,0,1,1,0,0,5
ySRswJ,0,0,0,0,0,6
esoArK,1,1,0,1,0,3
ZXkew4l4,0,1,0,0,0,7
NbqlGOg,0,0,0,1,0,6
Yktocyn0C,0,0,0,1,0,8
7wX91tQH,0,0,0,0,0,8
6coJc9,0,0,0,1,0,5
OGySc2,0,0,0,1,0,5
eJ1hxm,0,1,0,0,0,5
v8ANbuj8j,1,0,0,0,1,7
uAUvqC,1,0,0,0,2,3
8fbeYDy1U,0,1,0,0,1,7
1PethyFqnU,0,1,0,0,1,8
KEsjoEM2DU,0,2,0,1,1,6
sym0V2e,0,1,0,0,0,6
9nZgBUcViY,0,0,1,0,1,8
a1PWAWB4ic,2,0,1,0,0,7
rdNXYNX3,0,0,0,0,0,8
8dBatqVb,1,0,0,0,0,7
GtI36m4,0,0,1,0,0,6
EdtlvgYx,0,1,0,0,0,7
evE4UIP,0,2,1,0,1,3
AULgYRh,1,0,0,0,1,5
KQWSI8,0,0,1,0,0,5
6NPRoX,0,0,0,1,0,5
qSRydH,0,0,0,0,0,6
P1X6X9BX3G,0,0,0,0,0,10
XbhR4RW,0,0,0,0,0,7
hjViIZLv,0,0,2,0,0,6
qJtaE2gI,1,1,1,0,0,5
zG64nz,0,0,0,0,0,6
OtHXFyNeR,0,1,0,1,0,7
qsz0P4Uw4b,0,0,0,0,1,9
YQLY6YMZ,0,0,0,0,0,8
d09CpEabF,1,1,0,0,0,7
GIsicb984u,0,0,2,0,1,7
jZqN0U,0,0,0,0,1,5
ews2oA14,1,1,0,1,0,5
qfLlbWnH,0,0,0,0,0,8
7fECqNT1qi,0,1,1,0,0,8
l7UybYXj,0,0,0,0,1,7
KdbStwciP7,0,0,1,0,0,9
GpntSs,0,0,0,0,0,6
tuAT3C,1,0,0,0,1,4
2VhS1jRvM3,0,0,0,0,0,10
S5rIfM0EA,1,1,1,0,0,6
eyLrVr,0,1,0,0,0,5
j5ahVCMS,1,0,0,0,0,7
7YrlfALt,1,0,0,0,0,7
awvUyseOQd,1,1,0,1,1,6
1Gh8deA5Zm,1,1,0,0,0,8
Uy8FIjtmkH,0,0,1,0,1,8
mdtMhEL,0,1,0,0,0,6
5qKoVOs,0,0,0,2,0,5
L4Hgc74,0,0,0,0,0,7
KeoyhghKP,0,1,0,1,0,7
dIwbYm5lcE,0,1,1,0,0,8
87o59bG,0,0,0,1,0,6
dp8NEA4,1,1,0,0,0,5
fQgd7SC,0,0,0,0,0,7
xN2j2V,0,0,0,0,0,6
lPnVQLLE3M,0,1,0,0,0,9
3bg95ycfc,0,0,0,0,0,9
vFhES5Rw,0,1,0,0,0,7
NNBnoZo,0,0,0,2,0,5
SlLDXRZwFp,0,0,0,0,0,10
mF6t9J,0,0,0,0,0,6
CEzxkpRpj9,0,1,0,0,0,9
ZQKNUXu0H,0,0,0,0,2,7
2mb1MtAz,1,0,0,0,0,7
pfWtD9,0,0,0,0,0,6
2ZI4IH,0,0,2,0,0,4
X49Tnc,0,0,0,0,0,6
nGIlRt,0,0,1,0,0,5
HJlsEM,0,1,0,0,0,5
hbAmYPuN,1,0,0,0,1,6
xPToHI7Lp,0,0,1,1,0,7
BIT1GjlT,0,0,1,0,0,7
368JtHl,0,0,0,0,0,7
WUoFxEdY,0,1,0,1,1,5
i5qkKUp,0,0,1,0,1,5
pFY8OK8,0,0,0,1,0,6
NWJ7eXU,0,1,0,0,1,5
DrAIYBGa,2,0,1,0,0,5
Ux8enLkTB0,0,1,0,0,1,8
rRYaQn,1,0,0,0,0,5
aoAwpo09E,2,1,0,2,0,4
1BoOk54,0,0,0,2,0,5
5djsOy,0,0,0,1,0,5
xx0Y7z,0,0,0,0,0,6
xHHgdY,0,0,0,0,0,6
Q4rwpr,0,0,0,0,0,6
ytNiQf30,0,0,1,0,0,7
liEBD6,0,1,1,0,0,4
2VpPqHUlo,0,0,0,1,1,7
O8t7ulL42b,0,0,0,1,1,8
pl8ol3NRQp,0,0,0,1,0,9
dilybSc,0,0,1,0,0,6
4WUE2bp,0,1,0,0,1,5
KVxNHD,0,0,0,0,0,6
4JtdMVAX,1,0,0,0,0,7
8PE0Hv,0,1,0,0,0,5
sDyaJ9kDn,1,0,0,0,0,8
drAS19R,1,0,0,0,0,6
rqkDoxEx,0,1,0,1,0,6
wpkyiUALLY,1,0,1,0,1,7
DUmnWVB,0,0,0,0,1,6
Ip13qx,0,0,1,0,0,5
47kqiHJk,0,0,1,0,0,7
TBx6zQL,0,0,0,0,0,7
Fz0Ga2IY0,1,0,1,0,0,7
UJABNU,1,0,0,0,2,3
naVGDAa,3,0,0,0,0,4
3NS22F43wW,0,0,0,0,0,10
aUTX8Rlb5V,1,0,0,0,1,8
awclUT,1,0,0,0,1,4
E8Kg9jvM7E,0,2,0,0,0,8
8IonzF3,0,0,1,1,0,5
FDecMy6E,0,2,0,0,0,6
xauDTkfnD,1,0,0,0,1,7
HiHOWAkHC,1,0,1,1,0,6
sehkp2,0,1,0,0,0,5
DrUVrnK,0,0,0,0,1,6
gitiKj4bke,0,1,2,0,0,7
zXpr009HO,0,0,0,1,0,8
3Bq4xYMsqY,0,0,0,0,0,10
MHCahZRJq,1,0,0,0,0,8
ryQAAv,2,0,0,0,0,4
EqmzboiYPr,0,1,1,1,0,7
SOoBwtohfr,0,0,0,3,0,7
qRTI1Vac,1,0,1,0,0,6
DXGHkwz4QD,0,0,0,0,0,10
yaKD9rfRGo,1,0,0,1,0,8
VS9jETE,0,2,0,0,0,5
R2JHjRQ,0,0,0,0,0,7
3KPXsC,0,0,0,0,0,6
L7Qggccy,0,0,0,0,0,8
8tNUlAwYtE,1,1,0,0,1,7
udjo08EVR,0,1,0,1,1,6
jf70yITB,0,0,1,0,0,7
tMnVHo,0,0,0,1,0,5
ZWgQzw6NPM,0,0,0,0,0,10
0E2Knu,0,1,0,0,1,4
Hja2zsMW3k,1,0,0,0,0,9
Q3dUwuRCh,0,0,0,0,2,7
gIcSt752pJ,0,0,1,0,0,9
9udlTf4Zz,0,0,0,0,1,8
MFxRkS3l,0,0,0,0,0,8
4g2rBlOq,0,0,0,1,0,7
5b1xHKXn,0,0,0,0,0,8
QoAgidJ,1,0,1,1,0,4
9GBFUxM,0,0,0,0,1,6
YUlfGtiB,0,0,1,0,1,6
l13VdCLR,0,0,0,0,0,8
tcijQTr2,0,0,1,0,0,7
4m50auB,1,0,0,0,1,5
dwAnOBEJt,1,1,0,1,0,6
gy9rXZs0,0,0,0,0,0,8
sdzHgwJO,0,0,0,1,0,7
K5l1LbDu,0,0,0,0,1,7
KAwHlgO,1,0,0,1,0,5
9nH55LbN,0,0,0,0,0,8
yI8mWqPPq,0,0,1,0,0,8
smI6qDn,0,0,1,0,0,6
iVOP7WmLP,0,0,1,1,0,7
BLNIOr,0,0,1,1,0,4
1wOm1tGL,0,0,0,1,0,7
paEUhHq,1,1,0,0,1,4
RiHvxN9D,0,0,1,0,0,7
i8kqlOyEs,0,1,1,1,0,6
WbBIqoG,0,0,1,1,0,5
LfZWo3YXwT,0,0,0,1,0,9
qal7IAIL,2,0,2,0,0,4
nPCV6vjo,0,0,0,1,0,7
GoR3suZqT,0,0,0,1,1,7
gxMPSu4mW,0,0,0,0,1,8
6ZuhGraG,1,0,0,0,1,6
5lihQJchb,0,0,1,0,0,8
EGVcuXfWp1,0,1,0,0,1,8
rYK52Brx,0,0,0,0,0,8
dKHXlTouE,0,1,0,1,1,6
hFUvHRW1,0,0,0,0,1,7
yEZEivOY,0,2,1,1,0,4
QuJb9J,0,0,0,0,1,5
EPHcQW,0,1,0,0,0,5
gxan7F,1,0,0,0,0,5
Rx5pEa8,1,1,0,0,0,5
4Ms4Ci5,0,0,1,0,0,6
YHkWSbAa,2,0,0,0,0,6
AXDobl2yW,1,0,0,1,0,7
JSEWBsxZl,0,1,0,0,0,8
qGpR4aoQ,1,0,0,1,0,6
GxQEpPCxTg,0,1,0,0,0,9
glA17i0,1,0,1,0,0,5
YvXbDQkx,0,0,0,0,0,8
9skzHYIp,0,0,1,0,0,7
Qj6K5np5,0,0,0,0,0,8
CBtajL,1,0,0,0,0,5
VLxH5GUa,1,0,0,0,1,6
6KFvEHv1,0,1,0,0,0,7
oEWlOY,0,1,0,2,0,3
S31BNuYB,0,0,0,0,1,7
wsGQwjBte,0,1,0,0,0,8
yN4gvfY,0,0,0,0,0,7
TkDS7L,0,0,0,0,0,6
BlhT6x8D,0,0,0,0,0,8
AbtT499,1,0,0,0,0,6
2gWHt1N,0,0,0,0,0,7
LFYFz2PhMD,0,0,0,0,0,10
p2sJPZq,0,0,0,0,0,7
THFdHuI37,0,0,1,0,1,7
SJBtRFjdj0,0,0,0,0,0,10
y7YER5,0,1,0,0,0,5
ckHHbnV,0,0,0,0,0,7
YQsJ56,0,0,0,0,0,6
PizqrgW27Z,0,0,1,0,0,9
uC9428Q,0,0,0,0,1,6
WWLtRC,0,0,0,0,0,6
hQphIP,0,0,1,0,0,5
ohpNun2,0,0,0,1,1,5
GPVhmPi,0,0,1,0,0,6
zjPXKxB,0,0,0,0,0,7
7Xw0aDxdj5,1,0,0,0,0,9
BHeu3YUL2m,0,1,0,0,2,7
Hwe6xk28OV,0,1,0,1,0,8
GXkAVeM7oM,1,1,0,1,0,7
Q3IAekl,1,1,1,0,0,4
ludHVx,0,0,0,0,1,5
XT9ICmxf,0,0,1,0,0,7
ccARDWK7E,1,1,0,0,0,7
7oYj61lM,0,0,0,1,0,7
icy9kMkNVP,0,0,1,0,0,9
y9q573rnCW,0,0,0,0,0,10
aSJLLdL,1,0,0,0,0,6
3G8bOnv7,0,0,0,1,0,7
0d1BddwL,0,0,0,0,0,8
QUm6O6nE3,0,1,0,1,1,6
irohk92,0,0,1,1,0,5
uOj2lC4yhx,0,0,0,1,1,8
DwU2hvDTN,0,0,0,0,1,8
D0Wxwl1q,0,0,0,0,0,8
ziscEtyvT9,0,1,1,0,0,8
cIqgsUjU,0,0,1,0,2,5
bLX57w3,0,0,0,0,0,7
HkybT9,0,0,0,0,0,6
h1Pr8Dxw,0,0,0,0,0,8
Y0fTIv,0,0,1,0,0,5
gUyGx2i,0,0,1,0,1,5
dXdc715p,0,0,0,0,0,8
VAOczcNtzY,1,0,0,1,0,8
9mVrilK8I8,0,0,2,0,0,8
tLgaQ54k,1,0,0,0,0,7
FrdKCEAgcJ,1,1,0,0,0,8
05Sxz3wWV,0,0,0,0,0,9
q2wyaKB,1,0,0,0,0,6
Ldqke9w,0,1,0,0,0,6
Krqvnu,0,0,0,0,1,5
Wizqv5ni,0,0,2,0,0,6
iIJJlc1,0,0,2,0,0,5
Q0X8k3,0,0,0,0,0,6
CJnvHH,0,0,0,0,0,6
18PGe0kp6,0,1,0,0,0,8
gqD53CWqX,0,0,0,0,0,9
btsaHIBtby,1,0,1,0,0,8
CzH1dRMF,0,0,0,0,0,8
q5U2yCXNVT,0,0,0,0,1,9
r1y4wYN,0,0,0,0,0,7
mqjx7jbzyL,0,0,0,0,0,10
mYkesJZ,0,1,0,0,0,6
7J0pmh0gr,0,0,0,0,0,9
XWNvce0,0,1,0,0,0,6
vYOo4Fw7gn,0,0,0,2,0,8
JbIcALW,1,0,1,0,0,5
TgHrh8r,0,0,0,0,0,7
hYDPj3,0,0,0,0,0,6
xXZENkm,0,1,0,0,0,6
XmonrTp64,0,0,0,1,0,8
VRgy9Gql,0,0,0,0,0,8
sIefpmP9N,0,1,1,0,0,7
kk3RWP,0,0,0,0,0,6
PUebDONbOB,0,1,0,2,1,6
tsQ2kc29P8,0,0,0,0,0,10
ephv9j,0,1,0,0,0,5
Z2zH0YO6aR,1,0,0,1,0,8
Oc2SwJSr2N,0,0,0,1,0,9
B698gffO,0,0,0,1,0,7
DLSFa6m1WZ,1,0,0,0,0,9
EHWXlWIi,0,1,2,0,0,5
zNPVuwZe,0,1,0,0,1,6
ens4Fzo6W,0,1,0,1,0,7
Lf39UiNAEs,1,1,1,0,1,6
rRBt3yCTzy,0,0,0,0,0,10
jjGMUmOq,0,0,0,1,1,6
nK2mmxT,0,0,0,0,0,7
QIsplq2,0,0,1,0,0,6
wZFJ7uwuEW,0,1,0,0,2,7
FHG33XB,0,0,0,0,0,7
aOqSV7j,1,0,0,1,0,5
LxBFOujVM,0,0,0,1,1,7
npVoiw4,0,0,1,1,0,5
60Ktsc,0,0,0,0,0,6
Rka2z95MBI,1,0,1,0,0,8
hcyv5Ck0,0,0,0,0,0,8
wEEg36,0,2,0,0,0,4
RmoTHFFI9N,0,0,1,1,0,8
nA4XnN,1,0,0,0,0,5
zgM9MdzO6p,0,0,0,1,0,9
dpKL6awQJ,1,0,0,0,0,8
yiUbtDM,0,0,1,0,1,5
EvtQ2CEfC,0,2,0,0,0,7
vE9llROfSa,1,1,0,1,0,7
zABdZkPX,1,0,0,0,0,7
idVCr8PMou,0,0,1,1,1,7
81iHvstEht,0,1,1,0,0,8
0T2elG4Q,0,1,0,0,0,7
kaa7hR3bv,2,0,0,0,0,7
9aEYTIP,1,1,1,0,0,4
iPa2GhB,1,0,1,0,0,5
MGUh7Ft,0,0,0,0,1,6
M9julOG,0,0,0,1,1,5
0W7jLtaf,1,0,0,0,0,7
lm6LIqBOJ,0,0,1,1,0,7
oVzb4Ogi,0,0,1,2,0,5
8mCAY6,1,0,0,0,0,5
Jm2CPkhoS,0,0,0,1,0,8
XNbmWtNlh,0,0,0,0,0,9
KZ184o0,0,0,0,1,0,6
7blg7LivCK,0,0,1,0,0,9
zblRFW,0,0,0,0,0,6
Ha9yFpY,1,0,0,0,0,6
aiiTVDSn,1,0,2,0,0,5
wiOkiUFwjs,0,0,2,1,1,6
GLgtCWrnO2,0,0,0,1,0,9
X1lsVc,0,0,0,0,0,6
VXBv8sCMy,0,0,0,0,0,9
ybb5kNxi2,0,0,1,0,0,8
uZkpeQQJOZ,0,1,0,1,1,7
PRZqhkCu,0,0,0,0,1,7
uwWzod9,0,0,0,1,1,5
ZYx0UthXbT,0,0,0,0,1,9
rzmPEP1eQ,0,2,0,0,0,7
cn7rQ8U,0,0,0,0,1,6
68l3ptLi,0,0,1,0,0,7
Oosf58,0,0,0,2,0,4
Ezx8fe,0,2,0,0,0,4
u3nhqBJ,0,0,0,0,1,6
zcWIZ0U2,0,0,1,0,1,6
73biWRrFUh,0,0,1,0,1,8
bsGflegvxX,0,1,0,0,0,9
T6qYHSbUjr,0,0,0,0,1,9
kU5ojH,0,0,0,1,1,4
5yeRZCjdk5,0,1,0,0,0,9
0uvX1Xo,0,0,0,1,1,5
s4Kb5Q,0,0,0,0,0,6
geEf5y4,0,2,0,0,0,5
Sr2zTOWJ,0,0,0,1,0,7
simef4,0,1,1,0,0,4
VVi4ntDqf,0,0,1,0,0,8
Tx4LJf,0,0,0,0,0,6
ekeu58n,0,2,0,0,1,4
ozthiNH,0,0,1,1,0,5
b83ZnYw0M,0,0,0,0,0,9
KRhb93,0,0,0,0,0,6
AWJfAff,2,0,0,0,0,5
1cIFvdQxyu,0,0,1,0,1,8
7AQPQe6k4,1,1,0,0,0,7
lmvlVHtlIe,0,1,1,0,0,8
3KUiE6,0,1,1,0,1,3
ERivlK,0,1,1,0,0,4
mZHWzbgzk,0,0,0,0,0,9
P0c6If,0,0,1,0,0,5
Cyp4Rvu3,0,0,0,0,1,7
EVQUhswgwR,0,1,0,0,1,8
keQIij,0,1,2,0,0,3
NCU4oVWlv2,0,0,0,1,1,8
d4wbyRB0j,0,0,0,0,0,9
pxPrP1SJGx,0,0,0,0,0,10
QVhE9t49lK,0,1,0,0,0,9
6SchdJMF,0,0,0,0,0,8
ttOHwE01V,0,1,0,1,0,7
tYLH3Vaw7d,1,0,0,0,0,9
aH0tBQxyx9,1,0,0,0,0,9
NAtS29,1,0,0,0,0,5
0xwuCCfneF,0,1,0,0,1,8
8venRs7,0,1,0,0,0,6
DK4pWP9J6,0,0,0,0,0,9
mkcJjQhine,0,1,1,0,0,8
bBaSzSx,1,0,0,0,0,6
tKF8LcU,0,0,0,0,1,6
ml7dN03N,0,0,0,0,0,8
1Msoai,1,0,1,1,0,3
iMxpJbpn,0,0,1,0,0,7
uJUqLZPfx,0,0,0,0,2,7
RsBQpTevW,0,1,0,0,0,8
sZVgjOEB,0,1,0,1,0,6
krpZQ4PvP,0,0,0,0,0,9
KfNXFHIikQ,0,0,2,0,0,8
UxZ0P8,0,0,0,0,1,5
oaJ2UYt,1,0,0,1,1,4
qYg8q6,0,0,0,0,0,6
9o24nx5xCa,1,0,0,1,0,8
OArECWvP,1,1,0,1,0,5
WE9DUVBfB,0,1,0,0,1,7
QBL43E4z2,0,1,0,0,0,8
8aO4YWV,1,0,0,1,0,5
Zhbh1H,0,0,0,0,0,6
IIGLW0WNPX,0,0,2,0,0,8
FiGthqQJHx,0,0,1,0,0,9
rEi73eFHj,0,2,1,0,0,6
iHZxW5,0,0,1,0,0,5
pvKgTOb,0,0,0,1,0,6
XfJeJn,0,1,0,0,0,5
DMpURbd,0,0,0,0,1,6
3GPeev,0,2,0,0,0,4
Q7eUXz,0,1,0,0,1,4
z2rykQQ,0,0,0,0,0,7
v1w2nX,0,0,0,0,0,6
UcSWpt,0,0,0,0,1,5
6nvAkHLn,1,0,0,0,0,7
MZV0uUAPqo,1,0,0,1,2,6
CDojHo4,0,0,0,2,0,5
0cxOk0jTdx,0,0,0,1,0,9
GQ6DY9q,0,0,0,0,0,7
IbhbqpULG0,0,0,1,0,1,8
rUSeCcxe,0,2,0,0,1,5
fS1HYJQfXu,0,0,0,0,1,9
5SNQ3CpQ,0,0,0,0,0,8
2dBFqozoFc,0,0,0,2,0,8
BF2u6qST,0,0,0,0,1,7
ab4FUyd6AZ,2,0,0,0,1,7
Q8XgUGz,0,0,0,0,1,6
TC4cgxNtvA,1,0,0,0,0,9
bxDG9hRN8,0,0,0,0,0,9
F3qp6O,0,0,0,1,0,5
8EP6jdWY6,0,1,0,0,0,8
LI0HRnTE,0,1,1,0,0,6
DSZXuH4by,0,0,0,0,1,8
SPlQdlAJA,2,0,0,0,0,7
jfor3q0,0,0,0,1,0,6
qMQnAb,1,0,0,0,0,5
a4q914,1,0,0,0,0,5
pQRChTYB,0,0,0,0,0,8
WFbXg1LjSa,1,0,0,0,0,9
csGGeBOUQJ,0,1,0,1,1,7
D53QNty1,0,0,0,0,0,8
jNnNX3LR4w,0,0,0,0,0,10
UtofoS,0,0,0,2,1,3
tuiqCO,0,0,1,1,1,3
b4sIq1qUj,0,0,1,0,1,7
3QaBGv,1,0,0,0,0,5
RillZP,0,0,1,0,0,5
KzffPk,0,0,0,0,0,6
mpANfhA,2,0,0,0,0,5
LQ1cbZZG,0,0,0,0,0,8
Kxx7PeAlmC,1,1,0,0,0,8
39cMI0kMg0,0,0,1,0,0,9
c4CRHc,0,0,0,0,0,6
GFBwO2EKC2,0,1,0,1,0,8
Sh85zs,0,0,0,0,0,6
